"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out","pred","mis","crime_factor","age_factor","race_factor","gender_factor","score_factor"
"1526",29,"F","Caucasian","25 - 45","Low","Male",5,0,2,0,0,"2013-10-26 02:22:33","2013-10-26 08:52:16",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1527",35,"F","African-American","25 - 45","Low","Female",5,-1,3,0,0,"2013-11-19 12:43:57","2013-11-20 09:48:47",0,1,"F","25 - 45","African-American","Female","LowScore"
"1528",36,"F","Caucasian","25 - 45","Low","Male",1,-1,2,0,0,"2013-12-05 08:09:58","2013-12-06 09:55:53",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1529",26,"F","Caucasian","25 - 45","Low","Male",2,0,4,0,0,"2013-01-10 12:22:27","2013-01-12 02:52:10",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1530",26,"F","African-American","25 - 45","Medium","Female",1,-1,5,0,0,"2014-01-21 05:58:42","2014-01-22 09:20:42",0,1,"F","25 - 45","African-American","Female","HighScore"
"1531",28,"F","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-04-24 06:15:34","2013-04-26 04:51:42",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1532",35,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2014-01-20 09:04:36","2014-01-21 09:57:17",0,1,"M","25 - 45","Hispanic","Female","LowScore"
"1533",23,"M","African-American","Less than 25","Low","Female",0,-1,2,0,0,"2014-03-01 02:14:47","2014-03-02 08:12:14",0,1,"M","Less than 25","African-American","Female","LowScore"
"1534",23,"M","Hispanic","Less than 25","Low","Female",2,-1,4,0,0,"2013-09-22 01:21:07","2013-09-23 09:39:36",0,1,"M","Less than 25","Hispanic","Female","LowScore"
"1535",59,"M","Caucasian","Greater than 45","Low","Male",3,-3,1,0,0,"2013-05-12 05:17:01","2013-05-14 07:57:33",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1536",38,"F","Other","25 - 45","Low","Male",2,-1,1,0,0,"2014-03-26 05:07:09","2014-03-27 01:44:46",0,1,"F","25 - 45","Other","Male","LowScore"
"1537",40,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2013-12-23 09:56:19","2013-12-25 01:50:51",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"1538",26,"F","African-American","25 - 45","Low","Female",0,-1,4,0,0,"2013-12-20 03:42:01","2013-12-21 01:56:09",0,1,"F","25 - 45","African-American","Female","LowScore"
"1539",54,"F","African-American","Greater than 45","Low","Female",6,-1,4,0,0,"2013-12-01 02:04:46","2013-12-02 09:23:47",0,1,"F","Greater than 45","African-American","Female","LowScore"
"1540",47,"F","Caucasian","Greater than 45","Low","Male",2,-7,4,0,0,"2013-03-01 05:20:32","2013-03-07 08:32:27",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"1541",25,"F","Caucasian","25 - 45","Low","Male",1,-23,3,0,0,"2013-08-19 12:20:34","2013-08-19 07:02:51",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1542",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-03-18 12:03:32","2013-03-18 02:06:52",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1543",30,"F","Caucasian","25 - 45","Low","Male",1,-1,3,0,0,"2014-03-10 03:11:33","2014-03-11 01:26:00",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1544",21,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2013-12-06 11:23:29","2013-12-07 01:44:43",0,1,"F","Less than 25","African-American","Male","LowScore"
"1545",65,"F","African-American","Greater than 45","Low","Female",0,-1,1,0,0,"2014-02-23 10:06:57","2014-02-24 09:55:50",0,1,"F","Greater than 45","African-American","Female","LowScore"
"1546",59,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2014-02-05 04:46:13","2014-02-05 09:09:15",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"1547",59,"M","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-11-17 10:33:58","2013-11-19 08:59:35",0,1,"M","Greater than 45","African-American","Male","LowScore"
"1548",40,"F","African-American","25 - 45","Low","Male",0,0,1,0,0,"2013-02-20 06:23:55","2013-02-21 08:02:45",0,1,"F","25 - 45","African-American","Male","LowScore"
"1549",52,"F","African-American","Greater than 45","Low","Male",1,-1,1,0,0,"2014-02-23 02:25:36","2014-02-24 01:35:35",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1550",43,"F","African-American","25 - 45","Medium","Male",0,-1,5,0,0,"2013-01-31 08:25:07","2013-02-03 08:56:37",0,1,"F","25 - 45","African-American","Male","HighScore"
"1551",55,"F","African-American","Greater than 45","Low","Male",0,-1,1,0,0,"2013-10-03 06:04:09","2013-10-04 08:21:14",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1552",23,"M","Caucasian","Less than 25","Low","Male",1,-1,2,0,0,"2013-11-21 07:44:23","2013-11-22 05:14:14",0,1,"M","Less than 25","Caucasian","Male","LowScore"
"1553",47,"F","Other","Greater than 45","Low","Female",0,-1,1,0,0,"2013-05-25 09:23:37","2013-05-28 10:06:23",0,1,"F","Greater than 45","Other","Female","LowScore"
"1554",26,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-05-25 05:26:05","2013-05-27 06:22:44",0,1,"F","25 - 45","African-American","Male","LowScore"
"1555",21,"M","Caucasian","Less than 25","Low","Male",0,-1,3,0,0,"2013-12-30 11:33:39","2013-12-31 07:58:02",0,1,"M","Less than 25","Caucasian","Male","LowScore"
"1556",32,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2013-02-23 05:11:38","2013-02-24 06:41:29",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1557",51,"F","African-American","Greater than 45","Low","Male",3,0,1,0,0,"2013-10-10 01:07:03","2013-10-10 08:58:56",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1558",35,"F","Caucasian","25 - 45","Low","Male",2,-1,3,0,0,"2014-02-13 01:00:49","2014-02-14 01:28:38",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1559",37,"F","African-American","25 - 45","Low","Female",3,-1,1,0,0,"2013-09-05 07:35:42","2013-10-04 08:46:45",0,1,"F","25 - 45","African-American","Female","LowScore"
"1560",33,"M","African-American","25 - 45","Low","Female",3,-1,4,0,0,"2013-01-31 11:52:39","2013-02-02 12:53:13",0,1,"M","25 - 45","African-American","Female","LowScore"
"1561",42,"F","African-American","25 - 45","Low","Female",1,-10,1,0,0,"2013-10-20 12:32:39","2013-10-20 06:19:35",0,1,"F","25 - 45","African-American","Female","LowScore"
"1562",24,"F","Caucasian","Less than 25","Low","Male",0,0,2,0,0,"2013-12-30 06:38:43","2013-12-30 08:21:57",0,1,"F","Less than 25","Caucasian","Male","LowScore"
"1563",41,"F","African-American","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-21 11:38:31","2013-04-22 07:28:57",0,1,"F","25 - 45","African-American","Male","LowScore"
"1564",39,"F","African-American","25 - 45","Low","Male",1,-1,4,0,0,"2013-10-02 05:59:48","2013-10-03 07:59:23",0,1,"F","25 - 45","African-American","Male","LowScore"
"1565",24,"F","African-American","Less than 25","Low","Female",1,-23,4,0,0,"2013-05-07 04:49:30","2013-05-08 01:00:01",0,1,"F","Less than 25","African-American","Female","LowScore"
"1566",44,"M","African-American","25 - 45","Medium","Male",0,-1,5,0,0,"2013-01-08 05:46:22","2013-02-11 09:37:00",0,1,"M","25 - 45","African-American","Male","HighScore"
"1567",42,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-12-09 09:39:35","2013-12-10 01:03:57",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1568",45,"M","Caucasian","Greater than 45","Low","Male",1,-2,1,0,0,"2014-02-08 05:55:50","2014-02-09 08:45:07",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1569",33,"F","Caucasian","25 - 45","Low","Male",0,-1,2,0,0,"2013-12-11 01:52:15","2013-12-16 11:33:44",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1570",25,"M","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-04-14 06:30:50","2013-04-17 09:00:35",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"1571",32,"F","African-American","25 - 45","Low","Male",5,-10,4,0,0,"2013-05-21 04:49:19","2013-05-30 09:32:59",0,1,"F","25 - 45","African-American","Male","LowScore"
"1572",39,"M","Caucasian","25 - 45","Medium","Male",0,-1,5,0,0,"2013-01-06 10:10:12","2013-01-08 05:21:24",0,1,"M","25 - 45","Caucasian","Male","HighScore"
"1573",38,"M","African-American","25 - 45","Low","Female",0,0,1,0,0,"2013-08-29 05:44:52","2013-08-30 03:36:06",0,1,"M","25 - 45","African-American","Female","LowScore"
"1574",30,"F","African-American","25 - 45","Low","Male",4,-10,2,0,0,"2013-03-15 05:52:37","2013-03-22 09:44:51",0,1,"F","25 - 45","African-American","Male","LowScore"
"1575",30,"F","Caucasian","25 - 45","Medium","Male",1,-1,5,0,0,"2013-12-16 10:45:49","2014-01-14 10:17:39",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"1576",34,"F","Other","25 - 45","Low","Male",0,-1,2,0,0,"2013-10-14 03:41:56","2014-01-30 04:50:11",0,1,"F","25 - 45","Other","Male","LowScore"
"1577",25,"M","African-American","25 - 45","Medium","Female",0,-1,5,0,0,"2013-08-03 01:49:54","2013-09-16 07:24:51",0,1,"M","25 - 45","African-American","Female","HighScore"
"1578",37,"M","African-American","25 - 45","Low","Female",0,-1,1,0,0,"2013-03-24 06:22:00","2013-03-25 01:56:07",0,1,"M","25 - 45","African-American","Female","LowScore"
"1579",34,"M","Caucasian","25 - 45","Medium","Male",3,-1,5,0,0,"2013-12-26 08:22:16","2013-12-27 07:03:25",0,1,"M","25 - 45","Caucasian","Male","HighScore"
"1580",38,"F","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2013-10-12 02:23:33","2013-11-06 11:22:29",0,1,"F","25 - 45","Hispanic","Female","LowScore"
"1581",29,"M","Caucasian","25 - 45","Low","Female",0,0,2,0,0,"2013-04-10 01:34:30","2013-04-10 08:51:16",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1582",22,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2013-01-31 02:25:40","2013-02-01 08:48:35",0,1,"F","Less than 25","African-American","Male","LowScore"
"1583",51,"M","Hispanic","Greater than 45","Low","Female",0,-3,1,0,0,"2014-03-21 10:24:01","2014-03-22 01:21:00",0,1,"M","Greater than 45","Hispanic","Female","LowScore"
"1584",21,"M","African-American","Less than 25","Low","Male",1,-1,4,0,0,"2013-10-09 04:32:43","2013-10-10 05:30:24",0,1,"M","Less than 25","African-American","Male","LowScore"
"1585",23,"M","Other","Less than 25","Low","Male",0,-1,3,0,0,"2013-09-15 08:38:11","2013-09-16 07:24:21",0,1,"M","Less than 25","Other","Male","LowScore"
"1586",23,"M","Hispanic","Less than 25","Low","Female",0,-2,4,0,0,"2013-08-05 09:00:16","2013-08-06 01:36:03",0,1,"M","Less than 25","Hispanic","Female","LowScore"
"1587",36,"M","Caucasian","25 - 45","Low","Female",0,-1,2,0,0,"2014-01-10 10:17:29","2014-01-11 01:14:10",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1588",40,"F","Caucasian","25 - 45","Low","Female",0,0,2,0,0,"2013-08-23 04:51:28","2013-08-23 07:18:31",0,1,"F","25 - 45","Caucasian","Female","LowScore"
"1589",28,"M","Caucasian","25 - 45","Low","Female",0,-1,2,0,0,"2013-10-27 10:37:31","2013-10-28 08:11:04",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1590",38,"M","Hispanic","25 - 45","Low","Male",2,0,2,0,0,"2013-10-07 03:09:55","2013-11-05 11:20:31",0,1,"M","25 - 45","Hispanic","Male","LowScore"
"1591",55,"F","Caucasian","Greater than 45","Low","Male",0,-1,3,0,0,"2013-11-08 11:23:28","2013-11-09 02:08:01",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"1592",34,"F","African-American","25 - 45","Low","Female",1,-1,1,0,0,"2013-11-19 05:25:02","2013-11-21 09:38:50",0,1,"F","25 - 45","African-American","Female","LowScore"
"1593",55,"M","Caucasian","Greater than 45","Low","Male",1,-17,2,0,0,"2013-04-28 07:24:17","2013-05-02 08:55:43",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1594",41,"M","Other","25 - 45","Low","Male",0,0,1,0,0,"2013-09-09 04:00:04","2013-09-09 08:07:16",0,1,"M","25 - 45","Other","Male","LowScore"
"1595",41,"F","Hispanic","25 - 45","Low","Male",0,-2,3,0,0,"2013-07-13 07:47:49","2013-07-14 01:34:09",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"1596",61,"F","African-American","Greater than 45","Low","Male",12,-1,3,0,0,"2013-02-05 05:43:08","2013-10-05 05:26:21",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1597",57,"F","African-American","Greater than 45","Low","Male",3,0,1,0,0,"2013-04-27 06:02:34","2013-04-29 01:41:38",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1598",38,"M","Caucasian","25 - 45","Low","Female",2,-1,3,0,0,"2013-10-19 06:29:28","2013-10-20 05:02:11",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1599",23,"F","Caucasian","Less than 25","Medium","Male",3,-1,5,0,0,"2013-11-18 11:04:11","2013-11-28 03:13:08",0,1,"F","Less than 25","Caucasian","Male","HighScore"
"1600",20,"F","African-American","Less than 25","Low","Male",0,-1,3,0,0,"2013-12-09 07:22:09","2013-12-10 01:53:59",0,1,"F","Less than 25","African-American","Male","LowScore"
"1601",38,"M","Caucasian","25 - 45","Low","Female",1,-23,1,0,0,"2013-12-18 11:16:17","2013-12-20 06:03:00",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1602",32,"F","Other","25 - 45","Low","Male",0,-1,1,0,0,"2013-12-26 06:54:13","2013-12-27 09:23:36",0,1,"F","25 - 45","Other","Male","LowScore"
"1603",24,"F","Caucasian","Less than 25","Low","Male",1,-23,4,0,0,"2013-11-26 11:09:43","2013-11-28 12:59:40",0,1,"F","Less than 25","Caucasian","Male","LowScore"
"1604",45,"M","Other","Greater than 45","Low","Male",0,0,1,0,0,"2014-02-03 03:10:19","2014-02-03 01:15:51",0,1,"M","Greater than 45","Other","Male","LowScore"
"1605",29,"M","African-American","25 - 45","Low","Female",0,0,2,0,0,"2013-10-05 04:27:04","2013-10-06 08:51:00",0,1,"M","25 - 45","African-American","Female","LowScore"
"1606",25,"F","African-American","25 - 45","Low","Male",1,0,3,0,0,"2013-08-07 04:39:32","2013-08-07 08:25:38",0,1,"F","25 - 45","African-American","Male","LowScore"
"1607",46,"F","Hispanic","Greater than 45","Low","Male",13,-1,3,0,0,"2013-01-02 05:11:36","2013-05-24 03:31:20",0,1,"F","Greater than 45","Hispanic","Male","LowScore"
"1608",27,"F","Caucasian","25 - 45","Low","Male",2,-1,2,0,0,"2013-12-14 06:09:17","2013-12-16 02:52:14",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1609",37,"F","Hispanic","25 - 45","Low","Male",1,-1,1,0,0,"2014-03-17 06:38:54","2014-03-19 10:23:01",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"1610",28,"M","African-American","25 - 45","Low","Female",0,0,2,0,0,"2013-03-20 03:43:32","2013-03-21 01:37:09",0,1,"M","25 - 45","African-American","Female","LowScore"
"1611",58,"M","Caucasian","Greater than 45","Low","Male",3,-4,2,0,0,"2013-11-08 10:40:39","2013-11-09 01:44:01",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1612",33,"F","African-American","25 - 45","Low","Male",0,0,3,0,0,"2013-03-24 07:30:48","2013-05-03 09:30:14",0,1,"F","25 - 45","African-American","Male","LowScore"
"1613",23,"M","African-American","Less than 25","Medium","Female",1,0,5,0,0,"2014-01-29 12:59:29","2014-01-29 07:47:45",0,1,"M","Less than 25","African-American","Female","HighScore"
"1614",35,"F","African-American","25 - 45","Low","Female",2,-1,2,0,0,"2013-04-16 01:34:39","2013-04-17 06:59:17",0,1,"F","25 - 45","African-American","Female","LowScore"
"1615",35,"F","Hispanic","25 - 45","Low","Male",2,-14,1,0,0,"2013-07-09 12:32:41","2013-07-23 10:10:46",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"1616",54,"M","Caucasian","Greater than 45","Low","Female",1,-7,2,0,0,"2013-05-06 04:01:50","2013-05-10 08:38:25",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"1617",25,"F","African-American","25 - 45","Medium","Male",0,0,5,0,0,"2013-03-02 01:54:09","2013-03-04 09:44:28",0,1,"F","25 - 45","African-American","Male","HighScore"
"1618",29,"M","African-American","25 - 45","Medium","Male",2,-1,5,0,0,"2013-07-31 06:22:13","2013-08-01 08:25:25",0,1,"M","25 - 45","African-American","Male","HighScore"
"1619",39,"M","Caucasian","25 - 45","Low","Male",0,0,2,0,0,"2013-01-10 02:12:21","2013-01-10 07:13:09",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"1620",23,"F","African-American","Less than 25","Low","Female",1,-1,4,0,0,"2013-12-22 09:21:51","2013-12-23 04:21:18",0,1,"F","Less than 25","African-American","Female","LowScore"
"1621",37,"M","Hispanic","25 - 45","Low","Female",0,-3,3,0,0,"2013-06-14 10:05:29","2013-06-15 01:27:00",0,1,"M","25 - 45","Hispanic","Female","LowScore"
"1622",42,"F","African-American","25 - 45","Low","Male",1,-1,1,0,0,"2014-01-31 07:36:13","2014-02-02 04:00:35",0,1,"F","25 - 45","African-American","Male","LowScore"
"1623",31,"F","African-American","25 - 45","Low","Male",0,-1,3,0,0,"2013-04-05 12:30:30","2013-04-06 08:02:02",0,1,"F","25 - 45","African-American","Male","LowScore"
"1624",39,"F","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-09-06 10:19:32","2013-09-12 08:10:36",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1625",31,"M","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-02-03 10:14:16","2013-02-07 05:51:57",0,1,"M","25 - 45","African-American","Male","LowScore"
"1626",33,"F","African-American","25 - 45","Low","Female",0,0,3,0,0,"2013-12-19 03:05:43","2013-12-21 09:50:58",0,1,"F","25 - 45","African-American","Female","LowScore"
"1627",29,"F","Caucasian","25 - 45","Low","Female",0,-1,4,0,0,"2013-04-16 02:44:06","2013-05-14 08:05:34",0,1,"F","25 - 45","Caucasian","Female","LowScore"
"1628",62,"F","Caucasian","Greater than 45","Low","Male",2,-4,1,0,0,"2013-01-12 01:16:30","2013-01-15 07:17:11",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"1629",44,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2014-03-17 06:48:31","2014-03-18 01:08:58",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"1630",30,"F","African-American","25 - 45","Medium","Male",0,0,5,0,0,"2013-03-18 03:34:14","2013-03-18 06:25:19",0,1,"F","25 - 45","African-American","Male","HighScore"
"1631",21,"F","African-American","Less than 25","Medium","Male",0,-1,5,0,0,"2014-02-02 11:07:12","2014-02-05 07:54:36",0,1,"F","Less than 25","African-American","Male","HighScore"
"1632",28,"F","Hispanic","25 - 45","Low","Male",0,0,4,0,0,"2013-04-20 05:28:13","2013-04-20 07:17:54",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"1633",31,"F","African-American","25 - 45","Low","Female",0,-1,1,0,0,"2013-10-27 01:53:54","2013-10-29 08:51:33",0,1,"F","25 - 45","African-American","Female","LowScore"
"1634",49,"F","Caucasian","Greater than 45","Low","Female",2,-1,2,0,0,"2013-10-01 06:01:14","2013-10-02 03:31:06",0,1,"F","Greater than 45","Caucasian","Female","LowScore"
"1635",41,"F","Other","25 - 45","Low","Female",2,-1,3,0,0,"2013-04-18 08:43:09","2013-05-04 02:25:51",0,1,"F","25 - 45","Other","Female","LowScore"
"1636",20,"M","Caucasian","Less than 25","Low","Male",0,-1,4,0,0,"2013-10-23 05:29:31","2013-10-24 09:33:22",0,1,"M","Less than 25","Caucasian","Male","LowScore"
"1637",26,"M","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-12-09 11:19:57","2013-12-12 09:19:18",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"1638",28,"M","Caucasian","25 - 45","Low","Male",1,0,2,0,0,"2013-03-23 05:48:15","2013-03-24 07:18:54",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"1639",52,"M","African-American","Greater than 45","Low","Male",4,-5,1,0,0,"2013-06-23 12:28:04","2013-06-28 12:05:48",0,1,"M","Greater than 45","African-American","Male","LowScore"
"1640",36,"M","Hispanic","25 - 45","Medium","Male",1,-1,5,0,0,"2013-12-15 10:34:57","2013-12-19 10:27:31",0,1,"M","25 - 45","Hispanic","Male","HighScore"
"1641",22,"F","African-American","Less than 25","Low","Male",0,0,4,0,0,"2014-02-20 12:25:52","2014-02-20 08:57:04",0,1,"F","Less than 25","African-American","Male","LowScore"
"1642",34,"F","African-American","25 - 45","Low","Female",6,-1,3,0,0,"2013-04-29 08:31:32","2013-04-30 01:17:31",0,1,"F","25 - 45","African-American","Female","LowScore"
"1643",51,"M","African-American","Greater than 45","Medium","Male",8,-1,5,0,0,"2013-05-04 09:20:34","2013-05-30 06:14:31",0,1,"M","Greater than 45","African-American","Male","HighScore"
"1644",28,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-10-19 09:52:35","2013-10-20 08:40:59",0,1,"F","25 - 45","African-American","Male","LowScore"
"1645",23,"F","Caucasian","Less than 25","Low","Male",0,0,2,0,0,"2013-03-09 05:57:11","2013-03-10 07:02:54",0,1,"F","Less than 25","Caucasian","Male","LowScore"
"1646",25,"F","Caucasian","25 - 45","Medium","Male",2,-1,5,0,0,"2013-01-29 08:35:09","2013-02-07 09:32:54",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"1647",35,"F","African-American","25 - 45","Low","Male",7,-1,4,0,0,"2013-05-09 11:20:35","2013-06-07 09:22:48",0,1,"F","25 - 45","African-American","Male","LowScore"
"1648",30,"F","Other","25 - 45","Low","Male",1,-1,1,0,0,"2013-08-25 09:40:47","2013-08-27 05:13:19",0,1,"F","25 - 45","Other","Male","LowScore"
"1649",58,"M","Caucasian","Greater than 45","Low","Female",1,-3,2,0,0,"2013-06-21 12:44:56","2013-06-21 07:42:46",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"1650",26,"F","African-American","25 - 45","Low","Male",0,-1,3,0,0,"2013-03-27 10:33:56","2013-03-29 09:13:24",0,1,"F","25 - 45","African-American","Male","LowScore"
"1651",25,"F","African-American","25 - 45","Medium","Male",1,0,5,0,0,"2013-10-30 02:46:22","2013-10-30 08:28:58",0,1,"F","25 - 45","African-American","Male","HighScore"
"1652",56,"F","African-American","Greater than 45","Low","Male",1,-1,1,0,0,"2013-12-17 05:46:51","2013-12-18 10:30:00",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1653",36,"F","African-American","25 - 45","Low","Male",0,-1,4,0,0,"2013-04-12 05:15:11","2014-01-17 10:44:53",0,1,"F","25 - 45","African-American","Male","LowScore"
"1654",51,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-03-10 12:30:54","2013-03-12 09:49:53",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1655",52,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2013-07-31 09:14:55","2013-08-01 07:36:57",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"1656",24,"F","Caucasian","Less than 25","Medium","Female",0,-3,5,0,0,"2013-07-19 07:41:18","2013-07-20 01:59:43",0,1,"F","Less than 25","Caucasian","Female","HighScore"
"1657",57,"F","Other","Greater than 45","Low","Male",0,0,1,0,0,"2013-09-20 12:53:41","2013-09-27 09:19:14",0,1,"F","Greater than 45","Other","Male","LowScore"
"1658",38,"F","Caucasian","25 - 45","Low","Male",2,-1,1,0,0,"2013-09-06 08:02:17","2013-09-07 08:08:36",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1659",26,"M","Hispanic","25 - 45","Medium","Male",1,-2,5,0,0,"2013-03-02 05:50:22","2013-03-03 09:01:18",0,1,"M","25 - 45","Hispanic","Male","HighScore"
"1660",34,"F","African-American","25 - 45","Low","Male",2,-1,2,0,0,"2013-10-13 07:34:35","2013-10-14 10:04:31",0,1,"F","25 - 45","African-American","Male","LowScore"
"1661",24,"F","Caucasian","Less than 25","Medium","Female",0,-1,5,0,0,"2013-12-13 03:20:31","2013-12-14 01:25:18",0,1,"F","Less than 25","Caucasian","Female","HighScore"
"1662",55,"F","Caucasian","Greater than 45","Medium","Male",0,-1,5,0,0,"2013-02-04 07:14:30","2013-02-05 07:13:24",0,1,"F","Greater than 45","Caucasian","Male","HighScore"
"1663",23,"M","African-American","Less than 25","Medium","Male",3,0,5,0,0,"2013-08-15 01:53:22","2013-08-21 08:27:53",0,1,"M","Less than 25","African-American","Male","HighScore"
"1664",40,"F","Asian","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-03 04:56:38","2013-04-23 03:20:28",0,1,"F","25 - 45","Asian","Male","LowScore"
"1665",45,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2014-03-29 09:57:52","2014-03-30 08:36:23",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"1666",37,"F","African-American","25 - 45","Low","Female",0,-1,1,0,0,"2013-06-18 04:05:52","2013-06-19 10:46:07",0,1,"F","25 - 45","African-American","Female","LowScore"
"1667",41,"F","Caucasian","25 - 45","Low","Male",1,-1,1,0,0,"2014-03-18 09:24:52","2014-03-19 10:49:59",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"1668",33,"F","Other","25 - 45","Low","Female",0,-1,2,0,0,"2013-11-21 10:18:43","2013-11-22 03:53:50",0,1,"F","25 - 45","Other","Female","LowScore"
"1669",57,"F","African-American","Greater than 45","Low","Male",1,-1,1,0,0,"2013-02-06 04:49:40","2013-02-07 09:30:56",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1670",21,"M","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2014-02-14 08:57:29","2014-03-31 09:03:31",0,1,"M","Less than 25","African-American","Male","LowScore"
"1671",56,"M","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-02-02 06:39:31","2013-02-03 07:26:51",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"1672",48,"F","African-American","Greater than 45","Low","Male",4,-1,3,0,0,"2013-01-03 07:50:37","2013-01-04 06:15:54",0,1,"F","Greater than 45","African-American","Male","LowScore"
"1673",27,"M","Hispanic","25 - 45","Low","Male",1,-1,2,0,0,"2014-03-08 05:10:54","2014-03-09 10:11:30",0,1,"M","25 - 45","Hispanic","Male","LowScore"
"1674",34,"F","Hispanic","25 - 45","Low","Male",1,-1,2,0,0,"2013-09-23 08:44:05","2013-09-27 09:07:34",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"1675",58,"F","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-03-29 11:57:12","2013-03-31 03:36:36",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"1676",33,"F","African-American","25 - 45","Medium","Female",1,-3,5,0,0,"2013-07-19 06:23:11","2013-07-20 01:49:29",0,1,"F","25 - 45","African-American","Female","HighScore"
"1677",40,"M","African-American","25 - 45","Medium","Female",2,-1,5,0,0,"2013-01-27 08:40:41","2013-05-08 05:42:39",0,1,"M","25 - 45","African-American","Female","HighScore"
